auteur,avis,contributions,hotel,nb_avis_total,note,note_moyenne,sentiment_label,sentiment_score,sentiment_num,sentiment_z,sentiment_polarity,langue,avis_clean,topic_id,topic_score,topic_label,macro_topic,nb_mots,influence_score,influential_flag
salvipalma,"L'hôtel est bien situé, non loin du centre-ville et à proximité du métro. L'accueil était serviable et sympathique. La chambre était trop petite pour une chambre quadruple et la moquette sentait mauvais, mais elle était calme. Les lits étaient confortables.",0,BW_Bretagne,549,3.0,3.8,4 stars,0.5905558466911316,4,0.5,pos,fr,l'hôtel est bien situé non loin du centre-ville et à proximité du métro l'accueil était serviable et sympathique la chambre était trop petite pour une chambre quadruple et la moquette sentait mauvais mais elle était calme les lits étaient confortables,3,0.1322216114427838,"chambre, petite, chambre petite, lit",Chambre / Confort,43,0.2956839869888486,0
mariogb24,"L'hôtel est situé à quelques pâtés de maisons de deux stations de métro, d'un arrêt de train et de la navette aéroport. On y trouve facilement des restaurants abordables et des supérettes pour les affaires personnelles, les boissons sans",0,BW_Bretagne,549,3.0,3.8,4 stars,0.4619337618350982,4,0.5,pos,fr,l'hôtel est situé à quelques pâtés de maisons de deux stations de métro d'un arrêt de train et de la navette aéroport on y trouve facilement des restaurants abordables et des supérettes pour les affaires personnelles les boissons sans,0,0.0795247557214313,"situé, hôtel, hôtel situé, métro",Localisation / Transports,41,0.2712395869469622,0
Rogerio_Gea,"L'hôtel est petit, situé à quatre pâtés de maisons de la station Pernety sur la ligne de métro 13. De bons restaurants se trouvent à proximité. L'endroit est calme et très paisible la nuit, ce qui permet de bien dormir. Les chambres sont",0,BW_Bretagne,549,3.0,3.8,4 stars,0.5087645649909973,4,0.5,pos,fr,l'hôtel est petit situé à quatre pâtés de maisons de la station pernety sur la ligne de métro de bons restaurants se trouvent à proximité l'endroit est calme et très paisible la nuit ce qui permet de bien dormir les chambres sont,0,0.066234920653228,"situé, hôtel, hôtel situé, métro",Localisation / Transports,45,0.2694801235525603,0
Videorallysicilia,"Si vous cherchez un hôtel 4 étoiles à l'italienne, pensez à changer d'hôtel ! Situé dans un quartier très calme et paisible de Paris, à deux pas du métro (Pernety) et de la gare, l'accueil est excellent et s'efforce de parler italien tout",0,BW_Bretagne,549,3.0,3.8,4 stars,0.8984482288360596,4,0.5,pos,fr,si vous cherchez un hôtel étoiles à l'italienne pensez à changer d'hôtel situé dans un quartier très calme et paisible de paris à deux pas du métro pernety et de la gare l'accueil est excellent et s'efforce de parler italien tout,0,0.0912006893794885,"situé, hôtel, hôtel situé, métro",Localisation / Transports,46,0.2811122730888396,0
Maher Jebara,Les chambres sont très propres et le personnel était sympathique. L'emplacement est plutôt bon si vous aimez marcher et il y a beaucoup de jolies boutiques autour. Les chambres sont très étroites mais pas beaucoup d'espace pour plus d'une personne.,124,BW_Bretagne,549,3.0,3.8,4 stars,0.5514411330223083,4,0.5,pos,fr,les chambres sont très propres et le personnel était sympathique l'emplacement est plutôt bon si vous aimez marcher et il y a beaucoup de jolies boutiques autour les chambres sont très étroites mais pas beaucoup d'espace pour plus d'une personne,5,0.1302027489459369,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,43,0.2948224363976122,0
francisg56,"Bon hôtel, mais pas un 4 étoiles. La chambre était petite mais propre. La salle de bain était propre, mais pas à la hauteur d'un 4 étoiles. L'accueil était sympathique et ouvert 24h/24. Je le recommande pour les courts séjours, mais c'est un peu cher pour ce que c'est.",0,BW_Bretagne,549,3.0,3.8,4 stars,0.935052752494812,4,0.5,pos,fr,bon hôtel mais pas un étoiles la chambre était petite mais propre la salle de bain était propre mais pas à la hauteur d'un étoiles l'accueil était sympathique et ouvert h je le recommande pour les courts séjours mais c'est un peu cher pour ce que c'est,8,0.1238961922202259,"salle, bain, salle bain, douche",Salle de bain,54,0.3028890563366822,0
michaelm578,"L'hôtel est petit, tout comme les chambres. Il n'y a pas de bar à proprement parler, mais plutôt un coin salon où l'on peut commander des boissons. L'hôtel est idéalement situé en plein cœur de Montparnasse, avec de nombreux restaurants,",0,BW_Bretagne,549,3.0,3.8,3 stars,0.5491622686386108,3,0.0,neu,fr,l'hôtel est petit tout comme les chambres il n'y a pas de bar à proprement parler mais plutôt un coin salon où l'on peut commander des boissons l'hôtel est idéalement situé en plein c ur de montparnasse avec de nombreux restaurants,0,0.0956965202686754,"situé, hôtel, hôtel situé, métro",Localisation / Transports,44,0.0810748809737768,0
yucalympic,"Il est à moins de 10 minutes à pied de la gare Montparnasse. Il donne sur une rue calme après 22 h. Il n'est pas sur une route principale, il est donc un peu difficile à trouver. Il semble avoir été rénové récemment et l'établissement est",0,BW_Bretagne,549,3.0,3.8,3 stars,0.4948853850364685,3,0.0,neu,fr,il est à moins de minutes à pied de la gare montparnasse il donne sur une rue calme après h il n'est pas sur une route principale il est donc un peu difficile à trouver il semble avoir été rénové récemment et l'établissement est,0,0.0355954404494769,"situé, hôtel, hôtel situé, métro",Localisation / Transports,48,0.0593386952148151,0
Alberto Rovelli,Quatre étoiles pour l'emplacement. Trois étoiles et demie pour le service. Trois étoiles pour la taille de la chambre. Avec un lit matrimonial et un lit,35,BW_Bretagne,549,3.0,3.8,3 stars,0.7580899596214294,3,0.0,neu,fr,quatre étoiles pour l'emplacement trois étoiles et demie pour le service trois étoiles pour la taille de la chambre avec un lit matrimonial et un lit,3,0.0759664238072694,"chambre, petite, chambre petite, lit",Chambre / Confort,27,0.0560291354632113,0
Anass Elghazali,"Cet hôtel propose des chambres très petites, mais très propres. L'emplacement est idéal, à quelques minutes à pied de l'une des principales gares de Paris, la gare Montparnasse.",19,BW_Bretagne,549,3.0,3.8,4 stars,0.5200703144073486,4,0.5,pos,fr,cet hôtel propose des chambres très petites mais très propres l'emplacement est idéal à quelques minutes à pied de l'une des principales gares de paris la gare montparnasse,4,0.1499080454378913,"chambres, petites, chambres petites, propres",Chambre / Confort,30,0.2905177452079421,0
Curious806609,"Je n'ai pas trouvé la réception très serviable, si vous payez l'hôtel à l'avance, vous devez payer à nouveau à l'hôtel avec une carte de crédit, alors qu'ils sont sur différents sites avec paiement direct via paiement bancaire, vous",0,BW_Bretagne,549,3.0,3.8,2 stars,0.4469935297966003,2,-0.5,neg,fr,je n'ai pas trouvé la réception très serviable si vous payez l'hôtel à l'avance vous devez payer à nouveau à l'hôtel avec une carte de crédit alors qu'ils sont sur différents sites avec paiement direct via paiement bancaire vous,5,0.0308530287211636,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,44,0.2534028881719665,0
Death Disco,Hôtel efficace mais petit. L'emplacement est vraiment moyen... Les lits sont confortables et pas seulement deux lits simples rapprochés comme dans de nombreux hôtels.,129,BW_Bretagne,549,3.0,3.8,3 stars,0.683952271938324,3,0.0,neu,fr,hôtel efficace mais petit l'emplacement est vraiment moyen les lits sont confortables et pas seulement deux lits simples rapprochés comme dans de nombreux hôtels,6,0.0495746908710249,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,25,0.0428104598693505,0
Maria Joao Borges,"Personnel sympathique, professionnel et serviable. Le prix est élevé pour la qualité de la chambre. Nettoyage soigné.",2,BW_Bretagne,549,3.0,3.8,4 stars,0.5395248532295227,4,0.5,pos,fr,personnel sympathique professionnel et serviable le prix est élevé pour la qualité de la chambre nettoyage soigné,5,0.1867729485362788,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,17,0.2935359248132106,0
Coastal36407555575,"Le prix de la nuit sur Booking.com est excessif. Il n'y a pas de parking, moins cher via l'hôtel, et il n'y avait pas de place pour un lit d'appoint pour les enfants. Heureusement, nous n'étions pas très grands, sinon nous aurions passé une nuit plutôt inconfortable à Paris.",0,BW_Bretagne,549,3.0,3.8,2 stars,0.5746141672134399,2,-0.5,neg,fr,le prix de la nuit sur booking com est excessif il n'y a pas de parking moins cher via l'hôtel et il n'y avait pas de place pour un lit d'appoint pour les enfants heureusement nous n'étions pas très grands sinon nous aurions passé une nuit plutôt inconfortable à paris,1,0.0438057032532109,"qualité, prix, rapport, rapport qualité",Rapport qualité-prix,55,0.2696883947874672,0
Aideen Hogg,L'hôtel n'est pas mal mais ne le classerait certainement pas comme un hôtel 4 étoiles. Le personnel pourrait être plus sympathique et l'hôtel lui-même est assez démodé.,46,BW_Bretagne,549,3.0,3.8,3 stars,0.8054115772247314,3,0.0,neu,fr,l'hôtel n'est pas mal mais ne le classerait certainement pas comme un hôtel étoiles le personnel pourrait être plus sympathique et l'hôtel lui-même est assez démodé,5,0.1602168501778559,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,31,0.0958950279527256,0
Ariadna Peña Wahab,Bon emplacement. Les chambres sont petites mais propres. Le personnel de la réception parle plusieurs langues.,89,BW_Bretagne,549,3.0,3.8,4 stars,0.5577901005744934,4,0.5,pos,fr,bon emplacement les chambres sont petites mais propres le personnel de la réception parle plusieurs langues,4,0.1955339451151587,"chambres, petites, chambres petites, propres",Chambre / Confort,16,0.2962966894226533,0
ANDRE DE SOUZA,"Ce n'est certainement pas un hôtel 4 étoiles, comme annoncé sur différents sites de voyage, mais le personnel est sympathique et les chambres sont propres.",61,BW_Bretagne,549,3.0,3.8,4 stars,0.9073030948638916,4,0.5,pos,fr,ce n'est certainement pas un hôtel étoiles comme annoncé sur différents sites de voyage mais le personnel est sympathique et les chambres sont propres,5,0.1563018547057759,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,26,0.2893343261055294,0
Richard Bourne,Assez cher pour ce que c'est. Hôtel propre et neuf dans un quartier pas terrible.,102,BW_Bretagne,549,3.0,3.8,3 stars,0.6693761348724365,3,0.0,neu,fr,assez cher pour ce que c'est hôtel propre et neuf dans un quartier pas terrible,9,0.1994994835056559,"propre, hôtel propre, chambre propre, confortable",Propreté,16,0.0979889849357155,0
Alan Fernando Fuentes Prospero,"Accueil peu aimable, comme souvent, pas de parking, chambres avec juste assez d'espace pour se reposer.",168,BW_Bretagne,549,3.0,3.8,2 stars,0.4702004790306091,2,-0.5,neg,fr,accueil peu aimable comme souvent pas de parking chambres avec juste assez d'espace pour se reposer,4,0.0656647561043409,"chambres, petites, chambres petites, propres",Chambre / Confort,17,0.2418529424623714,0
MJS Consulting,"Chambres propres mais très petites. L'emplacement est correct, à 40 minutes à pied de la tour Effiel.",328,BW_Bretagne,549,3.0,3.8,3 stars,0.5769741535186768,3,0.0,neu,fr,chambres propres mais très petites l'emplacement est correct à minutes à pied de la tour effiel,4,0.1553450278085545,"chambres, petites, chambres petites, propres",Chambre / Confort,18,0.0811020388631871,0
Sami Ibrahim Pasha,"Le personnel était serviable et professionnel mais le manque de parking était un très gros problème pour nous ainsi que le petit-déjeuner ""buffet ouvert"" qui était une déception.",159,BW_Bretagne,549,3.0,3.8,2 stars,0.5819177627563477,2,-0.5,neg,fr,le personnel était serviable et professionnel mais le manque de parking était un très gros problème pour nous ainsi que le petit-déjeuner buffet ouvert qui était une déception,2,0.1123185809873948,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,29,0.2734984271389914,0
David Church,"Bel emplacement, personnel sympathique - mais chambres très petites même pour Paris.",74,BW_Bretagne,549,3.0,3.8,3 stars,0.5953921675682068,3,0.0,neu,fr,bel emplacement personnel sympathique - mais chambres très petites même pour paris,5,0.1987352837450555,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,11,0.0927728867513889,0
Sofia Ybars (Sofia),"Emplacement parfait, au coeur de Paris. L'hôtel dit qu'il s'agit d'un 4 étoiles mais il n'y parvient pas.",72,BW_Bretagne,549,3.0,3.8,4 stars,0.9551130533218384,4,0.5,pos,fr,emplacement parfait au coeur de paris l'hôtel dit qu'il s'agit d'un étoiles mais il n'y parvient pas,6,0.1333010999606835,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,23,0.2765847570591467,0
Gonzalo Martin,Personnel sympathique et attentionné ! Chambres confortables et très propres !,4,BW_Bretagne,549,3.0,3.8,5 stars,0.595475435256958,5,1.0,pos,fr,personnel sympathique et attentionné chambres confortables et très propres,5,0.1856660377030946,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,9,0.4852395891753159,0
Mark Shimei,"Halls et portes chers, vieux et étroits. Réservation. Com gonfle les prix, je n'utiliserai plus jamais leur service.",314,BW_Bretagne,549,3.0,3.8,1 star,0.5218453407287598,1,-1.0,neg,fr,halls et portes chers vieux et étroits réservation com gonfle les prix je n'utiliserai plus jamais leur service,1,0.0513808702062647,"qualité, prix, rapport, rapport qualité",Rapport qualité-prix,19,0.437713277153695,0
Osman Griborio,"Bien situé, ils ont un bazar d'antiquités le dimanche dans la rue principale. Beau.",223,BW_Bretagne,549,3.0,3.8,4 stars,0.5270233750343323,4,0.5,pos,fr,bien situé ils ont un bazar d'antiquités le dimanche dans la rue principale beau,0,0.0435517872939761,"situé, hôtel, hôtel situé, métro",Localisation / Transports,15,0.2304602316225096,0
Xochilt Monroy Garcia,"Emplacement central, chambres propres mais petites.",13,BW_Bretagne,549,3.0,3.8,3 stars,0.4492373466491699,3,0.0,neu,fr,emplacement central chambres propres mais petites,4,0.1994595584481339,"chambres, petites, chambres petites, propres",Chambre / Confort,6,0.088191995796988,0
Dario Hirigoyen,Bon emplacement. Le service est aimable et serviable.,500,BW_Bretagne,549,3.0,3.8,4 stars,0.5189932584762573,4,0.5,pos,fr,bon emplacement le service est aimable et serviable,6,0.1270595430246928,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,8,0.2592512428307071,0
馬島八世,"L'emplacement, le service et le réceptionniste sont très bons.",15,BW_Bretagne,549,3.0,3.8,5 stars,0.4760806560516357,5,1.0,pos,fr,l'emplacement le service et le réceptionniste sont très bons,6,0.1489055965275864,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,10,0.4705300474281572,0
Makoto KANEDA,Bon emplacement. La chambre est ☆☆ classe,122,BW_Bretagne,549,3.0,3.8,5 stars,0.4765369594097137,5,1.0,pos,fr,bon emplacement la chambre est classe,6,0.1027876668491139,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,6,0.4469372171812286,0
ky Rechard,C'est un hôtel bon marché.,151,BW_Bretagne,549,3.0,3.8,4 stars,0.429221510887146,4,0.5,pos,fr,c'est un hôtel bon marché,0,0.0470160954611062,"situé, hôtel, hôtel situé, métro",Localisation / Transports,6,0.2231366708941152,0
Mali Mes,"Le service à notre arrivé n'était pas le meilleur que j'ai vu, idem pour le départ. La taxe de séjour est exorbitante, 8€45 même si c'est Paris mais c'est trop exagéré. Le petit-déjeuner et le service n'étaient pas au top non plus pour 16€,",3,BW_Bretagne,549,2.0,3.8,2 stars,0.5727517604827881,2,-0.5,neg,fr,le service à notre arrivé n'était pas le meilleur que j'ai vu idem pour le départ la taxe de séjour est exorbitante même si c'est paris mais c'est trop exagéré le petit-déjeuner et le service n'étaient pas au top non plus pour,2,0.093745362358318,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,51,0.2870881891192264,0
Michele Stevenson,Personnel tres sympa et serviable mais il est vraiment impardonnable de continuer a louer les chambres quand l'hotel est en pleine renovation et nous donnait plus l'impression d'etre sur un chantier que dans un hotel. Le pire etait que ni,50,BW_Bretagne,549,2.0,3.8,2 stars,0.5592501759529114,2,-0.5,neg,fr,personnel tres sympa et serviable mais il est vraiment impardonnable de continuer a louer les chambres quand l'hotel est en pleine renovation et nous donnait plus l'impression d'etre sur un chantier que dans un hotel le pire etait que ni,5,0.0697110548307935,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,43,0.2690075753502695,0
Elise Daniaud,"à fuir. Le sol était sale, les lits aussi. J'ai retrouvé des cheveux et des poils dans les deux lits, dans la douche et le lavabo. Le lit était froissé et n'était clairement pas propre. Les draps et oreiller étaient tachés. Les",75,BW_Bretagne,549,2.0,3.8,1 star,0.9129173755645752,1,-1.0,neg,fr,à fuir le sol était sale les lits aussi j'ai retrouvé des cheveux et des poils dans les deux lits dans la douche et le lavabo le lit était froissé et n'était clairement pas propre les draps et oreiller étaient tachés les,9,0.0589278971224307,"propre, hôtel propre, chambre propre, confortable",Propreté,44,0.4653838524564452,0
deborah manfredi,"Un conseil n'oubliez rien dans l'hôtel! Hôtel sympathique et agréable, juste dommage que j'ai oublié un bien personnel qui n'a bizarrement jamais été retrouvé... extrêmement déçu!!",10,BW_Bretagne,549,2.0,3.8,2 stars,0.4911092817783355,2,-0.5,neg,fr,un conseil n'oubliez rien dans l'hôtel hôtel sympathique et agréable juste dommage que j'ai oublié un bien personnel qui n'a bizarrement jamais été retrouvé extrêmement déçu,7,0.0892332259826001,"agréable, super, accueil, séjour",Accueil / Service,30,0.2646247353291059,0
Paris Est Magique,Hôtel propre service correct. Mais ce n'est pas un 4 étoiles il ressemble plus à un 2 tant les chambres sont petites et la salle de bain étroite. Et je n'ai pas vu de prestation en justifiant plus.,336,BW_Bretagne,549,2.0,3.8,4 stars,0.7734879851341248,4,0.5,pos,fr,hôtel propre service correct mais ce n'est pas un étoiles il ressemble plus à un tant les chambres sont petites et la salle de bain étroite et je n'ai pas vu de prestation en justifiant plus,8,0.1530438459660809,"salle, bain, salle bain, douche",Salle de bain,40,0.3016359007690059,0
s lm,"Bonjour, Il serait souhaitable que votre camion de livraison ""Cuisine et Nous"" ne bloque pas la rue pendant plus de 10 min le matin vers 6h, un temps beaucoup trop long. En plus de gêner la circulation cela gêne aussi les riverains (le bruit dess klaxons).",5,BW_Bretagne,549,2.0,3.8,2 stars,0.4021874964237213,2,-0.5,neg,fr,bonjour il serait souhaitable que votre camion de livraison cuisine et nous ne bloque pas la rue pendant plus de min le matin vers h un temps beaucoup trop long en plus de gêner la circulation cela gêne aussi les riverains le bruit dess klaxons,3,0.0177245816710844,"chambre, petite, chambre petite, lit",Chambre / Confort,46,0.2497563069758455,0
David Guessel,Accueil chaleureux mais quelques points dans la chambre sont à revoir : L’isolation est quasiment inexistante (on entendait les voitures passer et c’est presque comme si on dormait avec nos voisins de chambre),9,BW_Bretagne,549,2.0,3.8,3 stars,0.6551519632339478,3,0.0,neu,fr,accueil chaleureux mais quelques points dans la chambre sont à revoir l isolation est quasiment inexistante on entendait les voitures passer et c est presque comme si on dormait avec nos voisins de chambre,3,0.0795680957340796,"chambre, petite, chambre petite, lit",Chambre / Confort,34,0.0644121165491008,0
Michele Letailleur (Missa02),Agréable sans plus. La salle de bain est vraiment désuète et pas pratique. Pas digne d un 4 étoiles.,89,BW_Bretagne,549,2.0,3.8,4 stars,0.619499683380127,4,0.5,pos,fr,agréable sans plus la salle de bain est vraiment désuète et pas pratique pas digne d un étoiles,8,0.2451749362157541,"salle, bain, salle bain, douche",Salle de bain,19,0.3204149928026562,0
VAVA YT,Chambre annulée 20mn avant notre arrivée heureusement solution de relogement trouvé + geste commercial. Chambres petites et sombres d un niveau 2etoiles .,25,BW_Bretagne,549,2.0,3.8,2 stars,0.4214122891426086,2,-0.5,neg,fr,chambre annulée mn avant notre arrivée heureusement solution de relogement trouvé geste commercial chambres petites et sombres d un niveau etoiles,4,0.1447101041514995,"chambres, petites, chambres petites, propres",Chambre / Confort,21,0.2794975651457522,0
Xara,"Limite . Chambre petite, personnel à l'accueil sympa...si présent. Service de chambre très aléatoire. Propre et calme. Décentré.",374,BW_Bretagne,549,2.0,3.8,3 stars,0.4656488299369812,3,0.0,neu,fr,limite chambre petite personnel à l'accueil sympa si présent service de chambre très aléatoire propre et calme décentré,3,0.1692605680848264,"chambre, petite, chambre petite, lit",Chambre / Confort,19,0.0880184978216018,0
Bastien Leroux,"Chambre non insonorisées, on entend tout se qui ce passe dans les chambres voisines, dans la rue et l'ascenseur fait un bruit... Le personnel quand est lui est serviable et sympathique.",5,BW_Bretagne,549,2.0,3.8,3 stars,0.3612862229347229,3,0.0,neu,fr,chambre non insonorisées on entend tout se qui ce passe dans les chambres voisines dans la rue et l'ascenseur fait un bruit le personnel quand est lui est serviable et sympathique,5,0.1194439250288936,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,32,0.0794731566412429,0
Wallace MAUDOIGT,"On a payé et réservé via booking, problème : notre réservation a pas été prise en compte et il restait aucune place dans l'hôtel... Cependant le réceptionniste était aimable et nous a trouvé une chambre dans un autre hôtel",66,BW_Bretagne,549,2.0,3.8,2 stars,0.422978937625885,2,-0.5,neg,fr,on a payé et réservé via booking problème notre réservation a pas été prise en compte et il restait aucune place dans l'hôtel cependant le réceptionniste était aimable et nous a trouvé une chambre dans un autre hôtel,3,0.0575239793993263,"chambre, petite, chambre petite, lit",Chambre / Confort,39,0.2598947543081881,0
Stéphanie B,Je ne recommande pas du tout. Non insonorisé. Vieillot. Petit déjeuner pas très bon. Personnel irrespectueux. Et une chaleur incroyable et non réglable.,177,BW_Bretagne,549,2.0,3.8,1 star,0.7605083584785461,1,-1.0,neg,fr,je ne recommande pas du tout non insonorisé vieillot petit déjeuner pas très bon personnel irrespectueux et une chaleur incroyable et non réglable,2,0.1475971324955533,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,23,0.4826855961712649,0
Fred martin,Prix délirants pour une chambre si petite. Accueil sympa. Rue assez bruyante. Température de la chambre trop élevée,332,BW_Bretagne,549,2.0,3.8,3 stars,0.5400895476341248,3,0.0,neu,fr,prix délirants pour une chambre si petite accueil sympa rue assez bruyante température de la chambre trop élevée,3,0.2135816885319219,"chambre, petite, chambre petite, lit",Chambre / Confort,18,0.1059545632704778,0
Michèle Méline Perrin,Vibrations du tram ressenties. Chambres petites et vieillissantes. Bon produits au petit déjeuner. Chambres bien soignées.,10,BW_Bretagne,549,2.0,3.8,4 stars,0.5170590877532959,4,0.5,pos,fr,vibrations du tram ressenties chambres petites et vieillissantes bon produits au petit déjeuner chambres bien soignées,4,0.2196990252647124,"chambres, petites, chambres petites, propres",Chambre / Confort,16,0.3066091495939822,0
Isabelle Martin,Mérite d'être rénové .sinon très bon emplacement pour se rendre matinalement à Montparnasse,4,BW_Bretagne,549,2.0,3.8,3 stars,0.5418177843093872,3,0.0,neu,fr,mérite d'être rénové sinon très bon emplacement pour se rendre matinalement à montparnasse,6,0.0978404679833824,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,14,0.0526499584442427,0
Lionel GRANIER,Hôtel médiocre aux pratiques commerciales douteuses,35,BW_Bretagne,549,2.0,3.8,2 stars,0.4665693044662475,2,-0.5,neg,fr,hôtel médiocre aux pratiques commerciales douteuses,0,0.0385776740520997,"situé, hôtel, hôtel situé, métro",Localisation / Transports,6,0.2195355702914807,0
Julien Labbé,4 étoiles dont 2 invisibles,68,BW_Bretagne,549,2.0,3.8,4 stars,0.961746871471405,4,0.5,pos,fr,étoiles dont invisibles,8,0.0426161254369095,"salle, bain, salle bain, douche",Salle de bain,5,0.2202809863517051,0
Sergio Luvumbo,Top du top pour un petit hôtel,89,BW_Bretagne,549,2.0,3.8,5 stars,0.7976095676422119,5,1.0,pos,fr,top du top pour un petit hôtel,7,0.0864386510810027,"agréable, super, accueil, séjour",Accueil / Service,7,0.4409382615463912,0
Tony Reaidi,Nous venons de séjourner quelques jours dans cet hôtel et laissez-moi vous dire : 1. Les chambres sont très petites,320,BW_Bretagne,549,2.0,3.8,3 stars,0.3601985275745392,3,0.0,neu,fr,nous venons de séjourner quelques jours dans cet hôtel et laissez-moi vous dire les chambres sont très petites,4,0.1590548195915563,"chambres, petites, chambres petites, propres",Chambre / Confort,20,0.0846411846022478,0
Paula Amaral,"Le service de ménage, surtout pendant cette pandémie, était très médiocre. La personne chargée du ménage de notre chambre ne portait pas de masque et a même laissé des produits d'entretien dans la chambre, y revenant même plus d'une fois en",35,BW_Bretagne,549,2.0,3.8,1 star,0.6133638620376587,1,-1.0,neg,fr,le service de ménage surtout pendant cette pandémie était très médiocre la personne chargée du ménage de notre chambre ne portait pas de masque et a même laissé des produits d'entretien dans la chambre y revenant même plus d'une fois en,3,0.1030981588582385,"chambre, petite, chambre petite, lit",Chambre / Confort,43,0.4832555388740073,0
Ishah Hadi,"C'est cher car c'est un hôtel 4 étoiles, la chambre était très petite et le service n'était pas bon. Le matelas n'était pas propre et ils n'ont pas changé quand j'ai demandé, j'ai donc dû utiliser un drap supplémentaire pour le couvrir.",61,BW_Bretagne,549,2.0,3.8,3 stars,0.5040856003761292,3,0.0,neu,fr,c'est cher car c'est un hôtel étoiles la chambre était très petite et le service n'était pas bon le matelas n'était pas propre et ils n'ont pas changé quand j'ai demandé j'ai donc dû utiliser un drap supplémentaire pour le couvrir,3,0.1365987419154681,"chambre, petite, chambre petite, lit",Chambre / Confort,49,0.1034199002912257,0
91juangabriels,"Un hôtel un peu claustrophobe. Petite chambre, petits couloirs, petit ascenseur, on dirait que tout est petit à Paris, il faudra demander aux Parisiens. Je n'ai pas pris de petit-déjeuner car les prix que je mange dans presque toute la",0,BW_Bretagne,549,2.0,3.8,3 stars,0.644707202911377,3,0.0,neu,fr,un hôtel un peu claustrophobe petite chambre petits couloirs petit ascenseur on dirait que tout est petit à paris il faudra demander aux parisiens je n'ai pas pris de petit-déjeuner car les prix que je mange dans presque toute la,2,0.1439361133744919,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,42,0.0997051615008594,0
yoyo613,"Nous étions cinq à séjourner trois nuits dans une chambre de style loft au cinquième étage. Il y avait un ascenseur, de la taille d'un demi-tatami, comme c'est courant à Paris. J'étais content de voir une machine à cappuccino gratuite",0,BW_Bretagne,549,2.0,3.8,5 stars,0.3548368811607361,5,1.0,pos,fr,nous étions cinq à séjourner trois nuits dans une chambre de style loft au cinquième étage il y avait un ascenseur de la taille d'un demi-tatami comme c'est courant à paris j'étais content de voir une machine à cappuccino gratuite,3,0.0633482716936507,"chambre, petite, chambre petite, lit",Chambre / Confort,44,0.4672702495395893,0
ManuelaC446,"Petite chambre, moquette, insalubrité, papier peint sale et salle de bain crasseuse et moisie. Je n'ai pas pris de petit-déjeuner, car il coûtait 13 € de plus ; j'aurais préféré un café et un croissant ailleurs. Je me demande si les draps étaient propres.",0,BW_Bretagne,549,2.0,3.8,2 stars,0.5928915143013,2,-0.5,neg,fr,petite chambre moquette insalubrité papier peint sale et salle de bain crasseuse et moisie je n'ai pas pris de petit-déjeuner car il coûtait de plus j'aurais préféré un café et un croissant ailleurs je me demande si les draps étaient propres,8,0.1195356593426122,"salle, bain, salle bain, douche",Salle de bain,45,0.2922262407363196,0
Freedom16705544153,"Je ne sais pas comment il s'appelle. C'est un homme blanc d'âge moyen, assis à la réception l'après-midi, impoli, désagréable et qui ne devrait pas parler aux gens. Il ne devrait pas faire ce travail ! Chaque question reçoit à peine une",0,BW_Bretagne,549,2.0,3.8,1 star,0.572719931602478,1,-1.0,neg,fr,je ne sais pas comment il s'appelle c'est un homme blanc d'âge moyen assis à la réception l'après-midi impoli désagréable et qui ne devrait pas parler aux gens il ne devrait pas faire ce travail chaque question reçoit à peine une,3,0.014311942428974,"chambre, petite, chambre petite, lit",Chambre / Confort,46,0.4482999614538951,0
"Auteur de l'avis sur ""Tripadvisor""","Est-ce ce qu'on attend d'un hôtel trois étoiles ? Bien que ce soit un peu bon marché pour Paris, le prix était tout de même raisonnable, donc je m'attendais à un peu plus, mais c'était une déception. La chambre n'avait qu'une douche",0,BW_Bretagne,549,2.0,3.8,3 stars,0.9156118035316468,3,0.0,neu,fr,est-ce ce qu'on attend d'un hôtel trois étoiles bien que ce soit un peu bon marché pour paris le prix était tout de même raisonnable donc je m'attendais à un peu plus mais c'était une déception la chambre n'avait qu'une douche,3,0.0629792736139078,"chambre, petite, chambre petite, lit",Chambre / Confort,48,0.0710247598625968,0
